,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,8.384135582236317,2.4175192063683255,0.28913766767519056,0.08180851058991571,0.024127389189729374,0.01518472648805001,0.0628967678782744,0.0041732204767486155
0.005,8.910435240764746,3.0905871442520043,0.33551885693230354,0.11331325568915149,0.029127674571749834,0.01759275613178266,0.06194162483459028,0.004261534876633511
0.01,8.125701926746567,2.299763105278704,0.30283421064916616,0.08698419000930468,0.02134216654368422,0.013508930838100522,0.062230403157399986,0.005615778872755302
0.015,9.238912228506099,2.8752401929630333,0.3099717682343063,0.11244871716294363,0.03221908283534707,0.015854090860203784,0.06349884786309047,0.006383947772341124
0.02,8.675255729280586,2.65323193494238,0.3111132338600742,0.10088342145136212,0.02316276531785604,0.01397152759644842,0.06175778545127793,0.004633374724340298
0.025,8.125169569354089,2.272699875134632,0.33057468327777983,0.12020302659394123,0.026346614980370737,0.014428509023793574,0.06360003642634256,0.00625402630625431
0.03,8.137073761836719,2.4856863360535324,0.29494171583919504,0.11546001400710593,0.031161727123920558,0.02354471648635461,0.06287905265185989,0.005734468216806492
0.035,7.332975832618364,2.32528903677875,0.2944067627093992,0.07863693653651196,0.024460489599606224,0.018593872548961676,0.06216936393632192,0.005362321385043838
0.04,8.674972363325361,3.1061206594074084,0.3211965778319629,0.12374148536811927,0.02545344304074885,0.01984305914115037,0.0637211351150149,0.006056760689650985
0.045,8.474981346685357,2.209872883127121,0.2664733356429133,0.06383487004912332,0.021863758837675343,0.0116115946517075,0.06337024997726695,0.007280322299671669
0.05,8.206101352261046,2.877780794594105,0.28367018751236994,0.11160798042733867,0.019778069536331884,0.013940559321190425,0.06428520322916793,0.007779541971710855
0.055,8.784076167396776,2.5134307198542505,0.29417500161380433,0.10729325744761449,0.02490311136744767,0.014825292433070125,0.06267907556997751,0.007231065892754071
0.06,8.312794652213427,2.7302692194798586,0.3048430630539911,0.09675053260503143,0.028842811213130842,0.021400174491985342,0.0652516495115547,0.006293256616057479
0.065,8.003245032236721,2.2272909775981713,0.256103132799296,0.0687363458993525,0.019966904552744906,0.013170522606808514,0.06293202773997437,0.004775935430863972
0.07,8.696151308965826,2.9690415153350522,0.28810327773392463,0.08755122828193303,0.024586308098286564,0.0147748869388351,0.06260068952424078,0.005678804430360946
0.075,8.589196193907336,2.3741678490028035,0.27793988720086577,0.07453545207414557,0.021477335537344332,0.011397514435011132,0.06411414061604533,0.005164988611697706
0.08,8.474425810735788,3.1686388103665615,0.2867090049935309,0.09661158725306841,0.020152912374402907,0.014505410611356392,0.06181607268151569,0.006319726171193963
0.085,8.414223355348321,2.5510039465835823,0.26794628944727605,0.06905425274442482,0.02155409153960058,0.012596865358731177,0.06689448331096962,0.010761283384678532
0.09,8.659933025035702,3.1060320884644073,0.30474524487701793,0.11983698371853771,0.026706809871999155,0.01586266916032246,0.06323648706843975,0.006720760324263628
0.095,8.621355406036557,3.4223509630648694,0.27200699781317694,0.08332523313611288,0.019689945763124727,0.010786292686293707,0.0652019972811443,0.009722182703697988
0.1,8.30596572921999,2.2683804263957033,0.2597518147269813,0.06702420460561194,0.023608112056111435,0.013991175290305554,0.06934108850451082,0.009269115645707086
