,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2982.0625,8.712787169236389,4994.213315808641,19.971203686401324,1.075,0.21333733970597016
0.005,2981.1625,9.057075078321864,4989.515867837986,16.0613625539412,1.0375,0.13337339141845925
0.01,2983.3875,8.358541999593848,4992.243970865262,18.39700318678434,1.075,0.18081014266989473
0.015,2981.025,7.261551363526126,4995.157648931467,16.099820551953865,1.1,0.23204774044612855
0.02,2982.225,7.235019890816664,4993.801096095454,18.016384533062304,1.0375,0.13337339141845928
0.025,2983.225,7.54639496203829,4994.885240861146,15.92362585426948,1.0875,0.2232481659269423
0.03,2979.825,6.87670724722978,4997.2299529712745,15.193991262060527,1.1,0.2025478734167333
0.035,2980.5,6.914310689265584,4996.438229697511,15.474815431631791,1.05,0.15191090506255012
0.04,2981.4625,9.730593770587953,4994.926204064377,19.56135767022455,1.0625,0.1674660317642709
0.045,2982.1375,8.475445302573963,4993.32568405083,15.351531287509873,1.0125,0.07905694150420949
0.05,2979.2,9.879271228182777,4996.7030880801885,14.532078921136055,1.0375,0.13337339141845922
0.055,2979.5375,8.74524596126815,4992.396497155441,18.754457008860875,1.0875,0.19240382212739626
0.06,2983.475,7.8535881069639855,4998.21370968222,17.891865003683964,1.1,0.23204774044612866
0.065,2978.75,7.787234787845146,5002.752417180155,13.471821708969472,1.05,0.15191090506255012
0.07,2982.5375,8.373024068476216,4997.517307836536,13.74741964451677,1.0875,0.19240382212739632
0.075,2981.4375,8.481644963216233,5006.493258215961,17.197360339928238,1.1125,0.239858398397995
0.08,2982.25,6.777602631897022,5003.43643853289,17.55597900589521,1.0625,0.1674660317642709
0.085,2982.8375,8.010719981086885,5008.516497324108,15.741358207027856,1.1,0.23204774044612853
0.09,2980.0,8.528233652449329,5007.875715921675,18.40532286455492,1.175,0.2897832965758362
0.095,2983.7125,8.162521841962379,5013.212952885862,16.554749706916475,1.0625,0.1674660317642709
0.1,2982.1,6.788187326487623,5023.269983669723,19.291541625312487,1.0375,0.13337339141845922
