,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.21280346894120156,0.013016368686048333,0.0036586565763187897,0.00022776426306536516,2.95773538029068e-05,2.2983347187360655e-05,0.028630518054929277,0.001093872503079035
0.01,0.4018561721944128,0.02948061576554011,0.00733706188341061,0.0005900866751582373,7.51255972300999e-05,6.143780037177344e-05,0.029715167809039454,0.0008871260581256056
0.015,0.5970808883837705,0.0588849024169968,0.010539981236206773,0.0008841241695973175,7.396306342317184e-05,6.630853908106416e-05,0.02961340193791951,0.0007120785392274575
0.02,0.7878147705028657,0.07520384055031333,0.01382632807508361,0.0008481637247807349,0.00012563967312165223,9.087298715054607e-05,0.029818973514892867,0.0005754657370938746
0.025,0.9712484053702516,0.05336943319478329,0.016602978499473425,0.0009630767176909768,0.00016123859885415365,0.00012063249660213289,0.029929695999966578,0.0008262712740577578
0.03,1.0887696100305992,0.07800496016122073,0.019505802453419912,0.0014451675168689459,0.000170095845467398,0.0001552700400576202,0.030455288862323827,0.0005758755443124323
0.035,1.2239720202957804,0.10918794158934143,0.02217401201318326,0.0013110762789201983,0.00025069157324107986,0.00017399212305797316,0.03036135284327317,0.0006938373513079879
0.04,1.409197757556675,0.14871224417744186,0.023701141870762714,0.0013110598553425952,0.00021026057823165953,0.00017858400371996354,0.03104809207063199,0.0007268140889144276
0.045,1.5171959484248803,0.18411501643679318,0.026541538314451458,0.001921031758969439,0.0002975495824971767,0.00020143018115558324,0.030953261080014227,0.0009872337650706196
0.05,1.6943867653151912,0.18494427922562653,0.028073978307231878,0.0020250707527996064,0.00031753012150255493,0.00021784535460001917,0.031246054853164847,0.0010117559067383051
0.055,1.7963891694187677,0.16923662064447195,0.02964293449783729,0.0019012746959043742,0.0002715142140092818,0.00021257149797419435,0.031510638198003385,0.001137202567543074
0.06,1.9916561463222542,0.1825926428363289,0.031259135444011876,0.0023321131333292828,0.000283058166089088,0.00019397586824844041,0.03213248643188742,0.0017305644750562664
0.065,2.019515974433827,0.15710242777582242,0.03449371033826417,0.0027070656417427954,0.0005025850928174389,0.00027304605621833146,0.03140053428999164,0.001098526738592123
0.07,2.084666077206813,0.1985550037815673,0.035531776333021604,0.003052286124690029,0.0005137731613936843,0.0003183268483179637,0.03192024089168098,0.0014789534624052678
0.075,2.3287793008862145,0.24249604224074614,0.03705733782012559,0.002713064858703395,0.0005392464669070258,0.0003527768282243572,0.032199637788495154,0.0009926692625641706
0.08,2.4239140303544033,0.28673712643267696,0.04011831316871032,0.004987719107989329,0.0006592136380945923,0.00038888315688461795,0.032208423162196714,0.0016269901711787882
0.085,2.487033056476938,0.23178592103756968,0.040851509958892834,0.004233429747917888,0.0005525145696278819,0.00037581447282867306,0.032098124583515006,0.0012080289026195725
0.09,2.4828801492170456,0.27788591686970787,0.041267883873434816,0.00360683866551242,0.0005907669731599332,0.0003244999860099762,0.03336968890856488,0.0023563496420716565
0.095,2.698609131462971,0.3183610995052177,0.044317563284430136,0.004715722124420923,0.0007310363712393221,0.0003980063222380104,0.03364263807539462,0.002487608347813536
0.1,2.762739956127194,0.38044540078350003,0.04347567878296863,0.005318018849486872,0.0006025776774876524,0.00033972757994914454,0.03410356051788274,0.001870971302040355
