,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,4981.0,0.0,5006.569625314859,1.842162177278927e-12,1.0,0.0
0.005,4981.0,0.0,5006.671860401182,0.3637950518381985,1.0,0.0
0.01,4981.0,0.0,5006.668313635651,0.6043717560340659,1.0,0.0
0.015,4981.0,0.0,5006.600870851607,1.2122754559873279,1.0,0.0
0.02,4981.0,0.0,5006.1740034325,1.2722766132047723,1.0,0.0
0.025,4981.0,0.0,5005.94747624732,1.6500819271844003,1.0,0.0
0.03,4981.0,0.0,5006.017229725296,2.1397261166410613,1.0,0.0
0.035,4981.0,0.0,5006.834187500732,2.4467807273967015,1.0,0.0
0.04,4981.0,0.0,5006.864610411016,2.9362162193752286,1.0,0.0
0.045,4981.0,0.0,5007.4123221737145,2.865132555654546,1.0,0.0
0.05,4981.0,0.0,5006.456674819319,3.697948278295272,1.0,0.0
0.055,4981.0,0.0,5007.944520433074,4.176916172106656,1.0,0.0
0.06,4981.0,0.0,5006.62043943571,4.719428583843006,1.0,0.0
0.065,4981.0,0.0,5007.0380186047905,5.194006266500203,1.0,0.0
0.07,4981.0,0.0,5006.977457718227,3.5560797271043167,1.0,0.0
0.075,4981.0,0.0,5006.580226314682,5.599987239845872,1.0,0.0
0.08,4981.0,0.0,5007.045857996485,4.107351064804754,1.0,0.0
0.085,4981.0,0.0,5007.500466810208,5.433048659789929,1.0,0.0
0.09,4981.0,0.0,5006.724711635229,6.567668973076212,1.0,0.0
0.095,4981.0,0.0,5008.018448300204,6.10656346050208,1.0,0.0
0.1,4981.0,0.0,5007.190003701045,6.43214762639662,1.0,0.0
