,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2989.0,0.0,2679.320275955013,14.472142559117383,3.7125,1.1316399490822928
0.005,2989.0,0.0,2681.2611570241825,12.38900320152828,4.225,1.2957029574119812
0.01,2989.0,0.0,2679.868500911021,12.783561194503042,3.775,1.0497252387758793
0.015,2989.0,0.0,2677.5299117907766,12.784379767014206,3.775,1.1872722453655624
0.02,2989.0,0.0,2679.637253522178,12.731205338271963,4.175,1.1521996799878496
0.025,2989.0,0.0,2675.2163286074224,14.275849795550878,3.65,1.1777858409657875
0.03,2989.0,0.0,2675.387059240088,14.098863432432678,4.25,1.2403473458920846
0.035,2989.0,0.0,2680.564077981051,15.046837860778412,3.95,1.0609623111312794
0.04,2989.0,0.0,2676.986643315179,12.49559127947753,4.2375,1.18747469608668
0.045,2989.0,0.0,2678.2792721786745,11.49607890301939,4.125,1.2947131154360225
0.05,2989.0,0.0,2679.27567818433,13.557525498932902,3.9125,1.2241559101306059
0.055,2989.0,0.0,2674.79198946396,12.926481077221263,3.95,1.1864620970314677
0.06,2989.0,0.0,2677.6528678874624,12.261541598500893,4.075,1.083382641875874
0.065,2989.0,0.0,2679.650353114451,11.858015675529309,4.225,1.3153433791707032
0.07,2989.0,0.0,2680.1715245709192,12.425068299051263,4.5,1.2351684199496948
0.075,2989.0,0.0,2679.0766227547683,16.389890276669213,4.0625,1.1831482339883468
0.08,2989.0,0.0,2681.3899144965985,12.64933947375314,3.9875,0.9902570243926445
0.085,2989.0,0.0,2678.550436100436,12.458078795784234,3.85,1.3922864426767712
0.09,2989.0,0.0,2676.718361224438,18.123648001215948,3.4625,1.0705109012726537
0.095,2989.0,0.0,2682.23512244444,12.605469453297767,3.95,1.1311441904050867
0.1,2989.0,0.0,2679.9327689452266,15.20023981784513,4.025,1.1764243957749085
