,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.3141190030217892,0.03292024179972766,0.010103543666241369,0.0018001733764253698,6.38547072491986e-05,4.337951403219592e-05,0.06438239670751833,0.0017524257488006963
0.01,0.6173649628253381,0.05753624768206774,0.01812989873292889,0.002387888931408144,0.0001536234251646225,8.356672392300225e-05,0.06575485537347465,0.0012968649374607935
0.015,0.894202371245969,0.07063365743523478,0.024176653683643388,0.0023042480077960486,0.00012951120912547978,0.0001001175694277934,0.06632002571366288,0.0020328786943546386
0.02,1.2029073157706787,0.13275082844790342,0.03223929996884944,0.004342595657352332,0.00024314988840873448,0.00015314213507482035,0.06721860927321126,0.0019050221739569189
0.025,1.43474221824567,0.14958129117587496,0.03430681253967219,0.0035330414608244994,0.0002711426270642012,0.00016327275121102823,0.06786165605688485,0.0015853547541530102
0.03,1.6857359979309543,0.16341075149381604,0.038187557485689,0.004516241823292484,0.00034536221930431504,0.00015971852135805917,0.0688538752522974,0.0022199436019825283
0.035,2.0016574187525267,0.1669262343424956,0.04375317554289633,0.005734711750848501,0.0004953424903478817,0.0003760272895191259,0.06955055596795687,0.0022144570945839743
0.04,2.210070949235009,0.20973594527560585,0.04866369875901426,0.005165564089577214,0.00047617991346197584,0.0002104402657139637,0.06952450631305634,0.002668961568632115
0.045,2.3729906557921443,0.20648566229679682,0.051526207193446805,0.004081312008446394,0.000394131238520263,0.00030182051802005795,0.07000583930501006,0.0017754223240270823
0.05,2.6591535628379472,0.36681512869066724,0.056490907130307674,0.008640972087583588,0.000632177723215121,0.000394055061203423,0.07090895494134199,0.002726599647303887
0.055,2.850149350390549,0.29261982540490494,0.05834438766343358,0.0072969571077519365,0.0005253726712071663,0.0002907875772486072,0.07139250228231366,0.0015256318600724442
0.06,3.0798826152463485,0.31924321262057176,0.0619113294767227,0.01015303505437792,0.0004719297584519757,0.0003480012585245717,0.07035429886517038,0.0032499506819518155
0.065,3.386194992056121,0.42988901922067896,0.06372594254445135,0.007743581117558619,0.0006081549060244309,0.0004208887707679223,0.07337671000969717,0.0037866168755012757
0.07,3.377712632600158,0.4337651590469567,0.06828796156228757,0.013407875316325127,0.0007197415099589625,0.000517501158807029,0.07290139438177487,0.004285411624643654
0.075,3.5034633447052825,0.320699426205654,0.07462328496733388,0.017253449106421483,0.000880435923024875,0.0003448252723907542,0.0733347284492986,0.004371565035640971
0.08,4.075831640679942,0.46135301363690717,0.07793564917480211,0.012715918512749403,0.000722691157887123,0.0006937452431903034,0.07280984055637604,0.003836561920081002
0.085,3.9469361645465604,0.5208629710255461,0.08385814352157848,0.016525928688133122,0.0010893995094355205,0.000599544131635364,0.07258537348862483,0.003362361378718699
0.09,4.298537149086289,0.5419787761913675,0.08009766284665291,0.013396490613310785,0.0007583263050215522,0.0005198986107430756,0.07592726066559578,0.004238568464684649
0.095,4.684038555984371,0.46666695944720954,0.0848485108700868,0.017647808585096295,0.0012323169154286634,0.0007151227127688888,0.0739056204738012,0.0030282318585343943
0.1,4.673728928710401,0.6173689714151398,0.08574231923426709,0.013474727369906266,0.0011512251968301814,0.0005943602839856165,0.07535708752133038,0.005002551013351001
