,count,count,size,size
,mean,std,mean,std
0.0,2985.0,0.0,4272.7324094525875,2.7632432659183902e-12
0.005,2985.0,0.0,4277.628838629263,1.9048025483114412
0.01,2985.0,0.0,4278.586625331935,2.6326496808273303
0.015,2985.0,0.0,4279.225090027741,2.681432789081794
0.02,2985.0,0.0,4280.454729307463,2.838002435922019
0.025,2985.0,0.0,4280.661419762575,3.776074350399393
0.03,2985.0,0.0,4280.5225905061625,3.4918827613136334
0.035,2985.0,0.0,4280.139601965742,3.2453734479110925
0.04,2985.0,0.0,4281.182188381388,4.01782969723831
0.045,2985.0,0.0,4280.180744915978,4.496932682418654
0.05,2985.0,0.0,4282.492001403056,4.068887925163529
0.055,2985.0,0.0,4281.381826701436,5.939346190336327
0.06,2985.0,0.0,4283.024777870202,5.215038547826266
0.065,2985.0,0.0,4283.292077251344,4.757779830208148
0.07,2985.0,0.0,4285.733607084059,5.359375075511445
0.075,2985.0,0.0,4286.894625843777,4.728518666480724
0.08,2985.0,0.0,4287.363643452287,6.456231950747354
0.085,2985.0,0.0,4288.063336464988,7.103457127247569
0.09,2985.0,0.0,4288.521800069075,6.56011666648646
0.095,2985.0,0.0,4290.968435931221,6.607909073673537
0.1,2985.0,0.0,4291.693136177247,7.046902078124978
