,count,count,size,size
,mean,std,mean,std
0.0,2985.0,0.0,1816.3738846176013,29.454590264116117
0.005,2985.0,0.0,1818.870046438345,27.295814172989253
0.01,2985.0,0.0,1810.8366401676437,24.814445700155254
0.015,2985.0,0.0,1812.828248715129,27.726302076475747
0.02,2985.0,0.0,1820.2248812071782,28.49554920277851
0.025,2985.0,0.0,1812.548109033498,25.7955174813129
0.03,2985.0,0.0,1814.748031765293,21.953384098823975
0.035,2985.0,0.0,1815.7555909359494,25.57137335829801
0.04,2985.0,0.0,1817.0100832827804,21.1241574202925
0.045,2985.0,0.0,1815.774451135813,27.948842628664707
0.05,2985.0,0.0,1812.877466417407,18.09668294967583
0.055,2985.0,0.0,1822.1918228088357,25.283509450684903
0.06,2985.0,0.0,1823.483421961178,17.039667499389022
0.065,2985.0,0.0,1833.4165666532194,29.126867203193623
0.07,2985.0,0.0,1823.1473139329125,21.224256483828192
0.075,2985.0,0.0,1820.3577533633259,22.980828971690826
0.08,2985.0,0.0,1835.4664600423475,26.195544251689864
0.085,2985.0,0.0,1826.7345514242866,25.43729175314567
0.09,2985.0,0.0,1826.660834263943,18.801207473870384
0.095,2985.0,0.0,1831.4803319952473,24.15392186621206
0.1,2985.0,0.0,1830.2300161884893,23.816716042255806
