,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2497.825,16.116781348198565,4947.005981049444,3.891499471605935e-12,14.1625,2.62968141777181
0.005,2491.8125,18.117383457147817,4947.092796282802,0.29728633064569887,14.3625,2.7618915387456604
0.01,2497.8875,17.073178657976364,4947.067539226084,0.5696065016631807,13.75,2.982857002512172
0.015,2500.8875,15.230067890482887,4947.791410180075,0.8676824345349887,13.7375,2.409882165435076
0.02,2497.525,17.90965575411122,4948.156433264745,1.3784730237433875,14.6375,2.2129789065930208
0.025,2492.4625,13.845015533693168,4948.515769029345,2.0431295399559977,14.525,2.5619253577068823
0.03,2496.125,18.807646426455495,4949.662397752137,2.2671539532706815,14.5375,2.6899325603975983
0.035,2497.95,18.395512273238595,4949.1749106680745,2.299556685831467,14.5875,3.261837416753529
0.04,2502.375,15.079596505518003,4950.496964554854,2.4918353747675894,14.3375,1.9916090003453013
0.045,2497.4625,14.531745752502852,4951.023878463942,2.930318167556162,13.6125,2.7746274871246577
0.05,2498.7375,19.42605555987588,4953.7223932970555,3.219899529686408,13.9375,2.803814937746107
0.055,2495.725,16.10500400019056,4953.90951320499,4.487649633838931,13.75,2.356115882396715
0.06,2500.2625,16.93274308733049,4955.810391002107,3.9415921535430023,14.5375,2.1613964503035104
0.065,2500.05,15.18340862375433,4956.9458686848175,4.348871112854583,14.3,2.978125378359812
0.07,2498.4375,14.778790892911715,4958.394567684956,5.088124594231812,14.4125,2.4334409003270685
0.075,2499.9875,16.691195091716576,4959.16590760298,4.466381351909098,13.975,2.8799706195082564
0.08,2506.2625,14.500657588979212,4961.941437993454,5.475376266378454,13.75,2.1303665267886505
0.085,2500.7125,16.064328814376598,4964.6716892620725,5.107009076782131,14.35,1.9650797595869902
0.09,2493.9,13.619461942005769,4965.793413046866,6.220283401663386,14.5,2.4178820993079553
0.095,2501.2,15.560386917607188,4967.794451759384,6.50697050187073,14.3125,2.1917312557510096
0.1,2500.4625,15.029623526001354,4971.847044656128,6.716316600588275,13.8625,2.1393370048949327
