,count,count,size,size
,mean,std,mean,std
0.0,3153.0,0.0,1332.4368971468318,1.1513513607993293e-12
0.005,3153.95,2.3637215333409074,1333.4310854296543,2.412031440803982
0.01,3153.675,3.561816736096687,1333.385811555575,3.677224838723728
0.015,3152.925,3.931382610579798,1332.805831653305,3.8627776821785567
0.02,3152.95,4.601839097243959,1333.4046089446442,4.959206494726847
0.025,3153.275,4.126136207155552,1333.709513556895,4.012662026586361
0.03,3152.2,5.355083853397918,1332.9761482799436,5.567177842582438
0.035,3152.95,7.267595800397044,1334.3886433709151,7.106612060027821
0.04,3151.575,5.84802180009266,1333.8502528538447,6.590703618357814
0.045,3148.8,7.545418035691155,1331.0090186785862,6.880323371354702
0.05,3150.9,7.004760286167306,1333.8160187701703,7.35784074431611
0.055,3148.675,7.453746261668245,1333.4978487594449,7.594348068555722
0.06,3145.975,7.198602072268735,1331.5064781252374,7.767333915172445
0.065,3147.175,6.609579295351444,1333.5317978980204,6.444911060946072
0.07,3145.875,7.558956311080288,1333.1545432148655,7.523457041842575
0.075,3144.625,10.807612464346008,1332.9983044526584,10.083305297330448
0.08,3140.9,8.860167272832046,1329.972661340968,9.341113804976915
0.085,3142.9,10.322492245279049,1333.5007726263198,9.743950472344869
0.09,3142.5,11.156233166330761,1334.8857876682127,11.792182418844238
0.095,3139.525,10.667437872761708,1332.8860233294429,11.733893222643934
0.1,3135.775,10.164007638822946,1331.2152674053348,12.066509337357639
