,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1.3833384481094393,0.3021642507980735,0.04829203904788833,0.009323881403970839,0.0011455899955744784,0.0008887193344093703,0.034725899629732535,0.0007223745220846445
0.01,1.8543832515769403,0.34061921482436847,0.09528834178101536,0.06912020457346875,0.004467079367906762,0.006647500942737052,0.03567795448904505,0.0008128585108109518
0.015,2.310341347286653,0.5793525070861467,0.13335141384782032,0.05956326023571566,0.006390309750607494,0.004968297167488604,0.036417395537686796,0.0012134797503283619
0.02,2.4624372552864178,0.38591139272015806,0.1529696631063,0.07130766705057387,0.008945305149963063,0.007223268476440221,0.03662129236161127,0.000947173738680013
0.025,2.7452879804339263,0.3232824765045947,0.19176795817551856,0.07584110294712386,0.011170256908356662,0.008280130715035337,0.036901152180023614,0.0008921003762750266
0.03,2.943368542920113,0.43581006856939963,0.19137879637948432,0.07422350524150763,0.013106921717341426,0.009099579884271044,0.03765981384984553,0.0011861993363728612
0.035,3.273843053893988,0.4081893923895391,0.21769366014823505,0.08156884845933023,0.014346587380883074,0.013057570462508042,0.03734993422727332,0.0008654358318244568
0.04,3.2665145824367543,0.6353168409547489,0.22351771933731843,0.09950712541746479,0.017464594380255986,0.013979392509139802,0.03765929212960517,0.0008884270845673279
0.045,3.4701574781889994,0.7016843786914041,0.2441862418102497,0.08373112808012728,0.016639257173079503,0.010618467837098253,0.03800405055549702,0.0012486850419286422
0.05,3.3931247013786403,0.687213477885828,0.22529628212442554,0.08136103137292354,0.015414142863666375,0.012979829739596957,0.037793129262273586,0.000990979536587303
0.055,3.714825672068747,0.700873846814162,0.236122744841137,0.0769486902692563,0.017872899161644286,0.013582730206739627,0.03802228490700259,0.0013330038522122005
0.06,3.7881536494686836,0.6777186313919633,0.2764824297347998,0.07666071686824125,0.021913085798952316,0.0118822597288136,0.03870857154291739,0.0016488345048443363
0.065,3.8362664712021823,0.4711057959888024,0.2627530964132588,0.09882176557423322,0.02038288651038742,0.014470620389771906,0.0388018522232247,0.001838164669683924
0.07,4.01583570892106,0.7274840295499548,0.26789663032510436,0.07820292139362715,0.019832048425309716,0.011390339551095542,0.03904440460942486,0.0015738180736836734
0.075,3.7907519830246015,0.8363494721950847,0.2818966779454258,0.11467529518281804,0.022602314572518094,0.020847683176308095,0.03865924733607492,0.0011031724653242472
0.08,4.365402329252572,0.6677976104122282,0.30414913662398335,0.09858557330252847,0.027193739911422245,0.015409893195676832,0.038834854708591215,0.0015854707384710064
0.085,4.4652264299503,0.9225847534488152,0.28234909480969883,0.10093576862233933,0.02254053457907555,0.016979419583899452,0.039700720412675736,0.0018506840471772372
0.09,4.552998941617766,0.9467874725887564,0.29379534028494014,0.10815232425799412,0.024052150216690403,0.017807682307543617,0.03982906073977845,0.002293520846328163
0.095,4.39925149674559,0.8080458825371732,0.28047144935857443,0.09668968352027282,0.022482614400749914,0.01593360762892058,0.04036963174206029,0.0024920631666767237
0.1,4.329409661015739,0.7794066017465103,0.3447581928353118,0.10682662597881154,0.034175253920042226,0.020002916904283817,0.03982376052558298,0.002642301936370962
