,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,3787.0,0.0,2461.0709018827843,2.3027027215986586e-12,1.0,0.0
0.005,3789.425,3.492758075555616,2465.380883876839,3.8538215581744355,1.0,0.0
0.01,3788.85,4.110960958218894,2465.0637078319974,4.893609049911713,1.0,0.0
0.015,3785.4,7.019387072372835,2459.998697432572,8.370818676176054,1.0,0.0
0.02,3781.475,8.461034367268732,2455.283723403286,9.941617500085437,1.0,0.0
0.025,3776.075,9.751758552783945,2448.1566609931238,11.416630628515263,1.0,0.0
0.03,3775.675,9.544464095578903,2448.717362913644,11.767002034000456,1.0,0.0
0.035,3766.925,13.3174023416057,2437.2293576095435,16.310727139265836,1.0,0.0
0.04,3764.325,12.645841517760205,2435.5182073776414,14.794250134345498,1.0,0.0
0.045,3753.6,13.209941865979728,2422.7196657648683,14.41041543010315,1.0,0.0
0.05,3741.675,16.73532652343999,2406.523846311667,19.572758741959003,1.0,0.0
0.055,3736.675,19.583336061101832,2402.168816158364,24.255683235479196,1.0,0.0
0.06,3721.7,17.32524466101713,2384.830601772653,18.793994400102285,1.0,0.0
0.065,3716.9,20.84841505382148,2378.106921461781,27.306622004076885,1.0,0.0
0.07,3707.625,17.421895301528934,2367.8910164712715,21.8913348763177,1.0,0.0
0.075,3686.3,20.97519903025891,2342.4624832891677,25.275023994922407,1.0,0.0
0.08,3675.7,25.26901416603103,2333.0237786734515,30.39846423452755,1.0,0.0
0.085,3661.525,27.587611024720534,2316.9484248534595,33.98929084166444,1.0,0.0
0.09,3646.725,34.64766799419403,2298.019666240448,39.96303218961051,1.0,0.0
0.095,3640.9,34.22909243948442,2288.559079074855,40.985149131787516,1.0,0.0
0.1,3620.425,34.796026519395305,2268.148634321723,41.06484129898365,1.0,0.0
