,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,3205.0,0.0,3066.88158832442,1.3816216329591951e-12,1.0,0.0
0.005,3205.0,0.0,3066.94033933834,0.5867987832003421,1.0,0.0
0.01,3205.0,0.22645540682891915,3067.5163485660732,0.9080510881933538,1.0,0.0
0.015,3204.9,0.3038218101251,3067.7895553321146,1.6588889242973384,1.0,0.0
0.02,3204.975,0.7333624702836331,3068.599861806313,2.0082473051285548,1.0,0.0
0.025,3205.025,0.6975230903263787,3068.2604675455955,2.725886646723226,1.0,0.0
0.03,3205.2,0.7578647467450739,3069.389964335369,4.062901822035474,1.0,0.0
0.035,3205.175,1.0349656255904573,3068.663749825926,3.4718425499385894,1.0,0.0
0.04,3205.375,0.8066232240898012,3069.4481217897924,4.6532443281956315,1.0,0.0
0.045,3205.75,1.1036071393157612,3068.6424346588874,4.578481071775749,1.0,0.0
0.05,3205.45,1.0114726506816305,3067.9720170339133,3.960900044479686,1.0,0.0
0.055,3205.825,1.2986679566149548,3069.384880364777,5.164065435637258,1.0,0.0
0.06,3205.125,1.26465765104987,3069.282181782603,4.996990604812973,1.0,0.0
0.065,3205.425,1.2171319798650666,3070.8052453698497,4.831031052895927,1.0,0.0
0.07,3205.325,1.4391503903879699,3067.8695326573534,5.768336212282041,1.0,0.0
0.075,3206.025,1.593053832367416,3068.848456919637,5.651789720445051,1.0,0.0
0.08,3205.7,1.2236976331741016,3067.8513420087684,5.9868504469411405,1.0,0.0
0.085,3205.875,1.5053324021709096,3070.0944460913256,6.4490059876679515,1.0,0.0
0.09,3205.625,1.6122527637932504,3068.786304437109,6.6269239046140225,1.0,0.0
0.095,3205.65,1.3876746829286124,3069.5144191929107,7.037016858888403,1.0,0.0
0.1,3205.7,1.5224811059414554,3071.163672620752,6.647436507770806,1.0,0.0
