,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2661.0,0.0,1622.2154410302003,1.1513513607993293e-12,1.0,0.0
0.005,2661.575,3.6577105071131792,1622.5179194688412,4.843395901776993,1.0,0.0
0.01,2657.9,8.31063575586529,1619.239784904388,9.26911200988565,1.0,0.0
0.015,2660.05,11.038278386758945,1622.2600043672699,12.246763935487344,1.0,0.0
0.02,2659.925,18.132542639246775,1621.6379956700737,20.029398672575134,1.0,0.0
0.025,2661.4,19.047578754536136,1622.3933812898244,19.856901673532807,1.0,0.0
0.03,2661.625,25.93649789537753,1622.2042035550883,27.136424074315634,1.0,0.0
0.035,2660.725,29.72005064357075,1620.8421813954026,31.206874925871425,1.0,0.0
0.04,2653.15,29.17282718822168,1612.7052836419703,30.905564800755048,1.0,0.0
0.045,2652.025,35.99678582517597,1611.256189648316,37.38498493615409,1.0,0.0
0.05,2655.05,33.24420134515075,1614.4770027779603,34.465369703947765,1.0,0.0
0.055,2660.775,34.031273324731245,1618.6500215180263,37.087596830540384,1.0,0.0
0.06,2669.525,37.46518897076838,1629.0595380246166,40.08934161932912,1.0,0.0
0.065,2662.975,40.6451104070342,1621.3098329902573,41.88362284123936,1.0,0.0
0.07,2661.475,43.91307701964568,1619.864771158853,45.785949479399264,1.0,0.0
0.075,2665.05,40.15288091972786,1622.6954886075732,42.682039138256116,1.0,0.0
0.08,2664.65,51.085423682499815,1620.9940747439753,55.47727885866019,1.0,0.0
0.085,2659.55,54.509444018256936,1618.3515722645052,57.75668141191915,1.0,0.0
0.09,2647.05,53.4909290177268,1602.2788978452727,54.57233465099918,1.0,0.0
0.095,2672.15,59.77760064155752,1632.9509555767731,60.56783784863495,1.0,0.0
0.1,2665.725,59.08836819891252,1623.6492302874958,63.13841339322522,1.0,0.0
