,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2984.45,3.862707964694305,4894.652810288513,27.327705178058213,1.25,0.5883484054145521
0.005,2982.325,7.904518344365468,4894.680731198659,23.496268735091466,1.2,0.4050957468334667
0.01,2983.9,4.527975717974215,4891.540850382442,25.62142124752427,1.25,0.49354811679282456
0.015,2984.2,4.461803705643304,4885.463874180701,21.395961855838475,1.1,0.3038218101251
0.02,2984.65,4.774666050881035,4889.9733506167995,26.0228016514997,1.125,0.40430377003131995
0.025,2984.775,5.254973224455437,4891.062752251177,23.627887769981427,1.275,0.5541220822628188
0.03,2982.675,5.690241308929367,4888.2957762689675,24.569525452310067,1.225,0.4229020617662604
0.035,2984.025,6.988956490100131,4891.697487962713,28.402230512775123,1.275,0.5057363253408149
0.04,2984.85,5.963779562212765,4892.4033529828985,28.94321519903212,1.25,0.49354811679282456
0.045,2984.525,4.031844395654331,4899.989568882863,27.53975470220007,1.3,0.5163977794943222
0.05,2985.075,5.672188109426376,4894.537484069123,28.824823643669923,1.225,0.4229020617662604
0.055,2983.225,8.122420695132574,4900.4471827715215,35.20718148202751,1.075,0.26674678283691855
0.06,2984.775,5.186211996418472,4885.444336246817,25.336257122853088,1.4,0.632455532033676
0.065,2984.425,4.711619570207147,4894.615462703218,25.084314745962928,1.275,0.505736325340815
0.07,2982.7,6.902990804809324,4902.207309684408,31.050476210905657,1.375,0.5856182356695512
0.075,2982.225,11.058092523415155,4890.5738495218,29.537266940377307,1.275,0.5057363253408149
0.08,2982.8,4.900026164242027,4888.000827224857,27.239777202795857,1.225,0.47971679679599
0.085,2983.625,8.384012563603818,4891.1640747230285,24.27410323973543,1.175,0.3848076442547927
0.09,2982.65,6.92283475359921,4897.194294177521,25.51514047116784,1.275,0.5057363253408153
0.095,2982.675,7.583340377567874,4895.3957843512,22.73007969425847,1.2,0.4640954808922572
0.1,2982.775,8.023962509818595,4894.339160455797,28.08329865493921,1.175,0.38480764425479264
