,count,count,size,size
,mean,std,mean,std
0.0,2985.0,0.0,3897.938869520132,4.605405443197317e-13
0.005,2985.0,0.0,3898.361533916457,1.2213164252339352
0.01,2985.0,0.0,3898.8406326470417,1.3383557897243048
0.015,2985.0,0.0,3899.2960649141546,1.890294839434787
0.02,2985.0,0.0,3899.352920476824,2.1655294709535586
0.025,2985.0,0.0,3899.6503106831633,2.5872349923315254
0.03,2985.0,0.0,3899.5823584298923,2.587831466710027
0.035,2985.0,0.0,3899.599229336259,2.6703715256414546
0.04,2985.0,0.0,3899.3049270861784,2.848302832133399
0.045,2985.0,0.0,3899.049723110981,3.56666603076617
0.05,2985.0,0.0,3900.1344508695415,3.548299437938786
0.055,2985.0,0.0,3899.278451785855,4.081751290425639
0.06,2985.0,0.0,3900.6764453754113,4.700222848680997
0.065,2985.0,0.0,3899.0531928177106,4.715800713991323
0.07,2985.0,0.0,3900.4018869950414,4.695479816159962
0.075,2985.0,0.0,3900.653225076129,4.999534367229796
0.08,2985.0,0.0,3900.7257927706073,3.9672790829541538
0.085,2985.0,0.0,3900.414361441936,6.402807818410002
0.09,2985.0,0.0,3899.76532955301,5.87343963392427
0.095,2985.0,0.0,3900.4511266369736,5.752560201913519
0.1,2985.0,0.0,3898.5659018083397,7.074360661878955
