,count,count,size,size
,mean,std,mean,std
0.0,3504.0,0.0,2820.6016595088063,1.842162177278927e-12
0.005,3503.6,1.8783517051407406,2820.414179567326,1.3515441459216853
0.01,3502.425,2.753901661093649,2819.5238774773607,2.0463621761766544
0.015,3500.75,3.1029349216838447,2818.1197722454062,2.7320132211694537
0.02,3500.275,3.456599039963549,2817.8201495205476,3.151298439137138
0.025,3498.625,4.192101853332997,2816.768166090561,4.24005529951302
0.03,3498.625,4.161406936639061,2816.386289776836,3.481821137890353
0.035,3497.875,4.007604950078966,2816.537778851919,4.386587299912701
0.04,3496.375,5.122536931578397,2815.2854195265536,5.275653037992149
0.045,3497.1,6.163582042103731,2815.94788690582,5.5307487207118715
0.05,3496.575,6.496103368509386,2815.6272287774264,6.3380777443586425
0.055,3496.675,5.739594821757782,2817.601071041639,7.046408060736035
0.06,3496.6,6.815517739048301,2815.027060156538,7.173905299781791
0.065,3496.575,5.852404721620084,2816.0928864441194,7.6675908348458455
0.07,3493.975,6.988956490100133,2814.6261667634003,8.858041675295768
0.075,3495.525,6.209948593866256,2814.477506654703,9.078074212278647
0.08,3494.85,7.1451974188153935,2814.6303421984458,9.103283689884716
0.085,3493.85,6.885696806628979,2814.8472142328937,10.07344809577768
0.09,3493.875,5.52935059014329,2814.1199856399244,8.6447832890781
0.095,3494.75,5.419575156024213,2814.3560940757043,8.518026048371024
0.1,3495.975,8.253942337002611,2816.0622724282107,9.204740940426547
