,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2985.0,0.0,2648.3254489262094,9.39659046527583,4.76875,0.8308697559076581
0.005,2985.0,0.0,2648.301851028819,8.199931140334341,4.95,0.9236910350355948
0.01,2985.0,0.0,2646.1540973327583,7.690461916991754,5.14375,1.0313786827249665
0.015,2985.0,0.0,2647.0456737888862,9.443258242635162,4.9,1.0218761026811272
0.02,2985.0,0.0,2647.557422631152,9.802511720379824,4.6125,0.8950540737138706
0.025,2985.0,0.0,2648.0945839593915,10.899843063100626,5.10625,0.9688869836980405
0.03,2985.0,0.0,2649.073340163958,10.597533136546355,5.04375,0.9966088333276334
0.035,2985.0,0.0,2649.721408415714,9.707036989287591,4.91875,1.0290453317866006
0.04,2985.0,0.0,2647.510884281809,8.884009158644544,5.16875,0.9411999637669306
0.045,2985.0,0.0,2648.1891544770815,9.745781433572027,4.89375,0.9488310959901918
0.05,2985.0,0.0,2648.9350918638947,9.69303545406382,4.90625,0.852386356061616
0.055,2985.0,0.0,2647.33882539114,10.92702641724324,4.675,0.8700869393636947
0.06,2985.0,0.0,2647.938520740327,9.848761496141096,4.71875,1.057918099442582
0.065,2985.0,0.0,2648.705309713071,10.844758793633549,4.85625,1.0141427793575601
0.07,2985.0,0.0,2647.1872368819704,10.780430750885746,4.7875,0.9277592249539637
0.075,2985.0,0.0,2644.284720725157,9.398204388218506,4.78125,1.0804016050548648
0.08,2985.0,0.0,2647.7779841139873,8.761043549844077,4.7625,0.7864028784150571
0.085,2985.0,0.0,2647.962543864308,9.968079505574982,4.86875,1.1875253033741413
0.09,2985.0,0.0,2649.9451565766267,10.083685978793419,4.98125,0.9664027601739322
0.095,2985.0,0.0,2651.333716994347,10.973879513866558,4.9875,0.9902570243926445
0.1,2985.0,0.0,2647.169763316522,8.490021772502415,4.75625,0.9276512593503874
