,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2487.0,0.0,1194.408378782359,6.908108164795976e-13,15.0,0.0
0.005,2487.0,0.0,1194.4228638815105,0.32143105131085736,15.0,0.0
0.01,2487.0,0.0,1194.3957197835696,0.5343875311542633,15.1,0.30382181012509984
0.015,2487.0,0.0,1194.4006678967955,0.786080527638677,15.675,0.7641821503897871
0.02,2487.0,0.0,1194.5526703574396,0.9826010550145868,15.55,0.8149248824907511
0.025,2487.0,0.0,1194.6725878066677,1.2226212745123488,15.725,0.8766925023004034
0.03,2487.0,0.0,1194.242537521748,1.5275753208012657,15.55,0.9323254631461965
0.035,2487.0,0.0,1194.7662677110943,1.9653667343941337,15.725,1.3006408676751113
0.04,2487.0,0.0,1193.9516477612792,2.0978044309826096,15.675,1.1632734537524385
0.045,2487.0,0.0,1193.793217865871,1.819379396836071,15.75,1.2760114138224345
0.05,2487.0,0.0,1194.2237201610492,2.16661769380849,15.275,1.5849856425783444
0.055,2487.0,0.0,1195.2378606665256,2.7718386009733904,15.5,1.739436985245808
0.06,2487.0,0.0,1194.8350178450994,3.06089082130998,15.375,1.7199806200458578
0.065,2487.0,0.0,1194.8070411248366,2.6670916448159248,15.55,1.5843788720682972
0.07,2487.0,0.0,1194.8293725601975,3.435111465294406,15.975,1.6090688500193413
0.075,2487.0,0.0,1195.1985090392322,4.051917886000421,15.675,1.9531368589383566
0.08,2487.0,0.0,1195.0859451369718,4.099271832656801,15.15,1.9155236279489658
0.085,2487.0,0.0,1195.3301493400602,4.48346450275999,15.525,2.062951582264894
0.09,2487.0,0.0,1195.6922236445916,3.922437136043721,15.1,1.7364862842489182
0.095,2487.0,0.0,1195.076738932067,4.1961498382236595,14.625,2.5589210466673102
0.1,2487.0,0.0,1194.8656073413943,4.895526152432119,15.55,1.9208705291465087
