,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,10.246043188261188,1.6666057509286085,0.149508071630566,0.02494185040271058,0.006075049331100679,0.002218646953617389,0.03713806111447286,0.0039038813376660983
0.005,10.68996997124914,1.8588607670505506,0.14227459071215137,0.018225378865560023,0.005675554884712433,0.0012165011756456244,0.03625949355315332,0.0025275491164774436
0.01,9.991551520815111,1.8043436064909355,0.14629466828234333,0.02262718704267487,0.00557255112728007,0.0021426587036338963,0.03466377060549693,0.002489540324991563
0.015,11.026564642412334,1.1655179377419513,0.12864718440671113,0.01924020120822486,0.004825194611220629,0.001341609074802487,0.03602636181889935,0.002942828956940252
0.02,11.173375064027578,2.126491614430707,0.1463709552713421,0.023384215423642562,0.006051164491073339,0.0018064934219074514,0.03698377143858768,0.0029599693379605955
0.025,10.798987483245224,1.6345902276606477,0.1573588390103517,0.028240577332239523,0.0063023434530640994,0.003049318169418134,0.035924623014232625,0.002490811903694538
0.03,10.90366435595755,1.2202325246976349,0.1488855554121002,0.016172264925187647,0.005980818359619992,0.0017140081684163457,0.03621417786893072,0.002196133397426499
0.035,10.266140265474501,2.059940986897751,0.15288700500939909,0.02092725272372804,0.006743425745537439,0.0023645011977370045,0.03495847179055201,0.002068866152176762
0.04,10.738670078728257,1.446820024286715,0.17137797416089987,0.031628733437389,0.007438701925362129,0.002596613088640971,0.03603549014729049,0.0026630446176549457
0.045,11.54766020888604,1.3513643524901047,0.15757071473927103,0.03360058831268226,0.0063713675186675076,0.003138476545690275,0.03594340486675525,0.001969852647966328
0.05,10.673765202644972,1.3790386589313983,0.1512713403926271,0.03238345789647307,0.006138951315727068,0.0027775140166852205,0.03698878979351847,0.002691233760991189
0.055,11.256159376594047,2.805804387300894,0.1472153096204878,0.01530233944451711,0.006092073471841787,0.001135733946601788,0.035398724499036416,0.002160982117268405
0.06,10.712027326771025,1.3044911204164724,0.15783691372581826,0.01933778295435333,0.007919421597151323,0.002451761005170803,0.03544756469376645,0.0014712230199083517
0.065,10.596479189521784,1.3739963087797626,0.14875771217747658,0.017109956779756304,0.006674498414943856,0.0013890949404575135,0.03572416870669722,0.0019277290525536548
0.07,11.88434096963553,2.448884531748869,0.14724386560296165,0.030476563194208994,0.0054811602446313105,0.002397143012035339,0.03514569496060751,0.002810422143145762
0.075,11.21195737877012,1.7148701892511218,0.1618169065424338,0.03032576045379604,0.007168261514190537,0.001796798676460615,0.03579401810729093,0.0026737970714045345
0.08,11.318534360725007,1.4326797042329584,0.16110711358159785,0.030845710716161764,0.006500035462935927,0.002079882897617508,0.03484272618340759,0.0021847183355488973
0.085,11.379872017264214,1.4945029666718461,0.15569784487614896,0.02694660689354209,0.006252100608872872,0.002658392593177279,0.03538260269185783,0.0023124070804658348
0.09,10.557560419643597,1.3856428429575374,0.1464634001462581,0.031521085881046323,0.0061021527370862996,0.002342741449545533,0.03507142942275866,0.0020574815992518026
0.095,11.63330719823227,2.6930986436715023,0.15305495749507977,0.030469301428191195,0.006342485747109263,0.0029358567001964773,0.03522699815132529,0.002620900060849885
0.1,11.02498314351543,1.1679466621487649,0.152147197721837,0.033291762757988265,0.006204817177237461,0.002363962572248818,0.034245358762741894,0.0025209356411547306
