,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2784.0,0.0,1052.7110418680788,6.908108164795976e-13,1.0,0.0
0.005,2784.7,4.831520438080516,1053.6643788340566,3.9621251751395747,1.0,0.0
0.01,2781.925,6.772446060399865,1051.5276765578915,5.99745785887138,1.0,0.0
0.015,2778.35,9.848987973521142,1048.9901623928683,8.772924633614418,1.0,0.0
0.02,2778.0,10.717826032913338,1049.390272126357,9.35202486580539,1.0,0.0
0.025,2775.425,13.554992457128863,1047.6713550822274,11.290633033232764,1.0,0.0
0.03,2781.9,14.577467684840334,1053.9900702703449,12.001085580395253,1.0,0.0
0.035,2774.525,19.719816273133826,1048.53303543283,17.29208937133846,1.0,0.0
0.04,2773.3,21.390388447822023,1048.3122706373315,18.30693376760332,1.0,0.0
0.045,2775.275,20.09463188936863,1050.3992122320756,18.273165722297307,1.0,0.0
0.05,2768.6,22.866165801496727,1046.1358290826206,20.337244104461085,1.0,0.0
0.055,2771.85,25.169731516553462,1049.304910782533,22.579932759098128,1.0,0.0
0.06,2769.675,24.99270406359136,1047.6628678803684,21.75481943925121,1.0,0.0
0.065,2777.8,37.1947059921994,1057.0932323075785,31.615343919816144,1.0,0.0
0.07,2780.65,27.64291535331918,1060.8318132824206,24.890756056834427,1.0,0.0
0.075,2777.65,30.429026291119488,1060.9879900477956,27.763055525668225,1.0,0.0
0.08,2781.775,30.10706323124619,1062.5366747098562,28.156885828784212,1.0,0.0
0.085,2787.675,32.43801781860291,1070.651537421763,28.98293865148289,1.0,0.0
0.09,2793.425,23.886362915549398,1075.2161638538141,23.40127795221907,1.0,0.0
0.095,2792.675,38.158500414011996,1078.1025882221625,35.86495376629058,1.0,0.0
0.1,2788.9,31.620181805864075,1076.2448633788572,27.764100817572945,1.0,0.0
