,count,count,size,size
,mean,std,mean,std
0.0,3585.0,0.0,3677.8581249210592,4.605405443197317e-13
0.005,3585.0,0.0,3677.79899186729,0.30528407059252155
0.01,3585.0,0.0,3678.0098184467615,0.5475894863750391
0.015,3585.0,0.0,3678.2030705799057,0.8364652200265833
0.02,3585.0,0.0,3678.639117840203,1.1389588768969852
0.025,3585.0,0.0,3678.9440899201973,1.2831567491737017
0.03,3585.0,0.0,3679.628634089718,1.7258305129369171
0.035,3585.0,0.0,3679.6814729732896,2.356640230681631
0.04,3585.0,0.0,3680.5815222195934,2.4801388350096656
0.045,3585.0,0.0,3681.732549439706,2.8318391632706765
0.05,3585.0,0.0,3682.2483748392538,2.97574605826123
0.055,3585.0,0.0,3683.2885215541273,3.247693817806584
0.06,3585.0,0.0,3684.19138912903,3.7137921686844453
0.065,3585.0,0.0,3685.556984211107,3.7442055506578136
0.07,3585.0,0.0,3686.562728386809,3.2080578646760207
0.075,3585.0,0.0,3687.1036901354464,5.394947401559755
0.08,3585.0,0.0,3688.5045226906063,5.128403247455035
0.085,3585.0,0.0,3689.918950765363,4.233333014430311
0.09,3585.0,0.0,3692.2478226845305,4.861378232086977
0.095,3585.0,0.0,3692.3654297557455,4.403334562455233
0.1,3585.0,0.0,3695.5510468841676,5.800310107422729
