,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,4977.0,0.0,5022.240700984761,1.866243750710335e-12,1.0,0.0
0.005,4977.0,0.0,5022.054139048783,0.4071073992647422,1.0,0.0
0.01,4977.0,0.0,5022.312925788439,0.6688232712820353,1.0,0.0
0.015,4977.0,0.0,5021.940983019564,0.8905264605553933,1.0,0.0
0.02,4977.0,0.0,5022.611011724901,1.2316425702303946,1.0,0.0
0.025,4977.0,0.0,5022.685244137805,1.6736880283288122,1.0,0.0
0.03,4977.0,0.0,5022.186868217281,2.6789876552433625,1.0,0.0
0.035,4977.0,0.0,5022.869546313077,2.952224299695885,1.0,0.0
0.04,4977.0,0.0,5022.540091283324,3.2238541373908887,1.0,0.0
0.045,4977.0,0.0,5021.279775334421,2.3155491500009386,1.0,0.0
0.05,4977.0,0.0,5022.631532434996,3.9313201668470312,1.0,0.0
0.055,4977.0,0.0,5022.6621896670695,4.1475906573318655,1.0,0.0
0.06,4977.0,0.0,5020.7488026024985,4.6928854310338615,1.0,0.0
0.065,4977.0,0.0,5022.259720850495,4.397768995727128,1.0,0.0
0.07,4977.0,0.0,5020.501403653503,4.217694465301021,1.0,0.0
0.075,4977.0,0.0,5022.991041360096,5.714450957979491,1.0,0.0
0.08,4977.0,0.0,5022.036047854124,4.250534994581036,1.0,0.0
0.085,4977.0,0.0,5022.85669363727,6.967129285213092,1.0,0.0
0.09,4977.0,0.0,5020.157668035631,6.674681639890352,1.0,0.0
0.095,4977.0,0.0,5021.779545277828,5.280703894976974,1.0,0.0
0.1,4977.0,0.0,5021.968040711812,6.749767001947094,1.0,0.0
