,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2109.125,9.477199359109616,1887.991338748098,17.45963528065442,1.0,0.0
0.005,2110.225,9.656238849466632,1892.216126707482,19.07493992459207,1.0,0.0
0.01,2111.0,9.542751309978824,1890.3694894691566,16.097962342069657,1.0,0.0
0.015,2110.0625,10.441035598012984,1889.450129954928,18.88801316143604,1.0,0.0
0.02,2113.3125,8.135619293087116,1894.727018434191,16.292870863302472,1.0,0.0
0.025,2112.1125,9.352421529290604,1889.384623549947,16.675913940347552,1.0,0.0
0.03,2112.2875,8.303449622959464,1896.6790197070507,16.899780988044732,1.0,0.0
0.035,2113.3375,9.179399664745416,1890.9166881375131,19.047272983822904,1.0,0.0
0.04,2109.6875,8.846763496272203,1893.7198002414766,14.555686913160107,1.0,0.0
0.045,2111.075,9.70827693391783,1894.2503425221032,13.624162922775666,1.0,0.0
0.05,2109.7375,9.87160360287566,1889.7970600184774,17.217752060383635,1.0,0.0
0.055,2112.3625,7.348458324273854,1892.4554182908112,15.17728339369275,1.0,0.0
0.06,2110.15,11.13679510129396,1887.975681247261,18.608503557665273,1.0,0.0
0.065,2110.0125,9.072703142266496,1888.043365934227,18.154454903846318,1.0,0.0
0.07,2112.1125,10.375938326428416,1891.8992828030914,16.538785781761977,1.0,0.0
0.075,2109.9625,9.006683771738771,1887.9485325740498,16.21451020173286,1.0,0.0
0.08,2110.5375,8.590683310633079,1892.3224947790125,14.0912472819859,1.0,0.0
0.085,2110.5125,9.413906448195917,1889.687794303592,15.569364299862054,1.0,0.0
0.09,2109.025,10.136852037529662,1887.958346570665,18.895564317234843,1.0,0.0
0.095,2109.4625,7.271640999149559,1890.342730528256,18.65271976209655,1.0,0.0
0.1,2111.0,10.980168603628206,1889.9286000341908,18.627304730940338,1.0,0.0
