,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,3242.0,0.0,3469.7312375435336,9.331218753551675e-13,1.0,0.0
0.005,3243.2,0.7677718959499146,3470.8469406690974,1.676635874249262,1.0,0.0
0.01,3243.8,1.5761378513048248,3471.0749343566117,1.9614602973936508,1.0,0.0
0.015,3243.1,1.9708400559953587,3468.735357104393,2.931891960687752,1.0,0.0
0.02,3243.35,2.207046132634963,3468.611024054222,4.182240689223,1.0,0.0
0.025,3243.75,3.0928610498508027,3468.43968697891,3.665842452274341,1.0,0.0
0.03,3242.85,2.7198103649064636,3467.83508565472,5.371933296104991,1.0,0.0
0.035,3243.65,3.801315561749643,3470.1877075749885,6.72886957110107,1.0,0.0
0.04,3243.1,2.4039441275580953,3469.1356647455236,6.543949162765439,1.0,0.0
0.045,3244.05,3.170173496829472,3469.1892626321082,6.562510894560289,1.0,0.0
0.05,3244.3,2.735728518386974,3467.469929825972,6.741377606502449,1.0,0.0
0.055,3243.45,2.6051568293028264,3466.919764977517,5.9209776535648215,1.0,0.0
0.06,3242.75,3.385339911410592,3463.050055944709,6.45758274856625,1.0,0.0
0.065,3243.9,3.322966334942005,3468.3681677779387,8.086514072323633,1.0,0.0
0.07,3244.1,3.1439164311914825,3463.8991339787267,6.383887845634526,1.0,0.0
0.075,3242.7,4.691537734665412,3466.0380453746357,10.646538926138488,1.0,0.0
0.08,3243.8,3.3965927199567454,3464.6751689653042,7.146165115838965,1.0,0.0
0.085,3244.05,4.071402189599263,3467.3819047699894,8.1308867597182,1.0,0.0
0.09,3243.55,5.031218331054301,3465.218527142782,6.785981131444617,1.0,0.0
0.095,3242.85,4.987088592714085,3466.6541684532385,8.953799921918746,1.0,0.0
0.1,3243.6,5.3646013242757435,3466.1076918017543,9.129541813209647,1.0,0.0
