,count,count,size,size
,mean,std,mean,std
0.0,2986.0,0.0,2331.032967888686,16.188104593564063
0.005,2986.0,0.0,2332.7571085892573,12.886179744381595
0.01,2986.0,0.0,2333.1255434867426,14.491468111815015
0.015,2986.0,0.0,2330.178766032122,16.894156016100247
0.02,2986.0,0.0,2330.2630478457745,14.021662387574404
0.025,2986.0,0.0,2332.5924690344214,14.431767237755441
0.03,2986.0,0.0,2332.896360600831,11.830544927884167
0.035,2986.0,0.0,2332.3664361684378,15.807362851517711
0.04,2986.0,0.0,2330.0008216141905,14.959213343941261
0.045,2986.0,0.0,2332.970982676076,14.588816239824295
0.05,2986.0,0.0,2330.052093269941,16.088022339756535
0.055,2986.0,0.0,2335.610898671316,14.953917909630874
0.06,2986.0,0.0,2331.1543444518315,16.479943619064667
0.065,2986.0,0.0,2335.2753177969553,14.714384742255646
0.07,2986.0,0.0,2334.5128928962627,15.460680630889946
0.075,2986.0,0.0,2332.543322767061,19.242560678707747
0.08,2986.0,0.0,2333.1050120117957,14.793780477604663
0.085,2986.0,0.0,2325.959715360618,13.698237142148386
0.09,2986.0,0.0,2330.5683778495927,16.978654666726882
0.095,2986.0,0.0,2332.656390446852,18.572699566228273
0.1,2986.0,0.0,2332.5586519334747,16.98499477782108
