,count,count,size,size
,mean,std,mean,std
0.0,1691.0,0.0,764.3976914614083,5.756756803996646e-13
0.005,1691.85,1.7327908421284142,764.5955220494241,1.0027698982461288
0.01,1691.75,2.59930957302324,764.1909129284822,1.369421639294564
0.015,1693.1,2.7437574834895906,764.6330215493963,1.804669839934125
0.02,1693.825,3.713368088959478,764.5701410453132,2.4245033505977815
0.025,1693.325,3.5761854767478947,764.3705458916129,2.488535001372372
0.03,1694.25,4.3071199253424615,764.4954097781668,2.6238037168204036
0.035,1694.6,5.494986059570288,764.946518379719,3.4187273559787634
0.04,1692.775,4.293629747690923,763.360962759595,2.697580454149769
0.045,1695.15,5.146818783456786,764.6178514401035,3.4140311769771357
0.05,1694.725,4.846291206844515,764.1514581528984,3.744632965890411
0.055,1693.975,4.911981687930454,763.3550060494147,3.057249942694152
0.06,1695.775,5.881250085152183,764.4124152236884,4.514147017316909
0.065,1692.975,5.784539518051321,763.4884408837509,3.9021023564638084
0.07,1692.6,6.266721221802904,762.4511927840737,4.247288126186829
0.075,1693.65,5.989520763329816,762.503916970488,4.224416788617982
0.08,1693.2,6.009394354909693,762.0502954620509,4.566368428133221
0.085,1697.175,8.227182899482568,764.1322618808845,5.179420941632625
0.09,1694.15,7.029425333042561,762.9169542386669,4.733503448677195
0.095,1692.525,6.679426890815075,761.9826230953167,6.190331576770057
0.1,1695.475,7.334455042416631,763.9130677424102,6.124471416621021
