,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,5.328501476388409,0.810909440404445,0.19860140230219342,0.03012864310889179,0.006167412830040186,0.003934750478616429,0.0368678814688808,0.009971144481300154
0.005,6.157263549292631,3.4622082120353936,0.2000061241069869,0.04651875148178923,0.004859295516969428,0.0038293632075892692,0.03435503726792636,0.00952925329192941
0.01,5.5518871034382915,0.9407144203713417,0.1960778374212821,0.016520028131063232,0.005392110668170131,0.0035185975735601855,0.039428746602484424,0.017920222430745217
0.015,5.848347160555055,0.8177032193839299,0.2018730195594869,0.025424419507169997,0.004292776776583689,0.0020734645169984455,0.03661933472874715,0.009368382744458456
0.02,12.26050960646597,29.986892814990505,0.4635355630155301,1.188807791205083,0.05178665085598324,0.21338939600298473,0.06798843190614065,0.13212526234778393
0.025,7.661352860606042,6.353920506328325,0.21142835242024596,0.0590035404600327,0.00503444018879523,0.005234758718171235,0.03557057130852127,0.014366479704054948
0.03,9.968914040546247,18.070282247735236,0.297719323040379,0.4195676170242856,0.01555102066810593,0.04666084313308979,0.038662882240686466,0.02386254964224374
0.035,5.346593659296433,1.0903238033268579,0.20128076766745315,0.024528379944094097,0.004356062400478535,0.003213364124990843,0.03738458948461645,0.010702616127716993
0.04,5.886661353923111,1.0238670603410938,0.20470929914635033,0.025529205515871674,0.005431355671223053,0.004223769512315197,0.03222083976780034,0.0070897803299473
0.045,11.598626823355563,21.17214432381306,0.32712325538058484,0.5166714069063951,0.02055083768678797,0.0689463252104262,0.04463412471491955,0.027489898546588624
0.05,8.427352743774724,9.525571874206824,0.2296635349359999,0.1728001923988422,0.007101504179172674,0.015677998019915308,0.03244196565535287,0.005797239491938067
0.055,6.2480123741135865,3.301336929931289,0.19281081036930753,0.03343481297655665,0.00419715274405298,0.003179204886858604,0.03143020418468426,0.005581848539989499
0.06,13.627189138501686,29.65053107243258,0.4243034009439393,0.8829128651564945,0.03859939583345483,0.14304307302786803,0.05655892576356982,0.09029167385821292
0.065,11.554461699604694,18.16377185308955,0.30304274240702467,0.3219807585246373,0.016339862400842738,0.03196497195631088,0.036537557500503914,0.008145693457777523
0.07,8.547329187298196,12.796327928104505,0.25512737902622173,0.22202250165239898,0.008817515832401975,0.019709117910053437,0.03607220357696197,0.007650349460825691
0.075,6.401313101526308,4.19848068445297,0.20075690672127208,0.02923898073237095,0.005173734883888834,0.0035305171642853904,0.038510172303634946,0.008291017017124338
0.08,9.87987944349999,20.58451823670786,0.3163739025900559,0.5677628197988533,0.021979016097062695,0.07741034173735076,0.0451696004896041,0.03623935523182748
0.085,13.63658565335113,28.073261933153802,0.42581657616786484,0.8517617426712825,0.036314059653994736,0.13243613260415404,0.04895741159908465,0.05243719022705839
0.09,6.0188728901517745,3.678956018495169,0.1950962036661718,0.031280137891353886,0.00453444282667921,0.0026987597923572855,0.03463331049885591,0.010774063864783103
0.095,6.161678216646159,3.4040070455455043,0.2100925071492652,0.02588917790647486,0.004833247547626646,0.0035492468089285026,0.034975501746901935,0.008437946857625047
0.1,5.927213039496342,1.5266729220397295,0.20290218956060016,0.028247320663919596,0.004823918198291058,0.0034830106025090343,0.03417085714383887,0.008448812262001202
