,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2979.95,9.76899858395595,5033.129052886415,30.691929692997782,1.05,0.22072142786315221
0.005,2960.975,102.53241826306346,4974.65032447942,331.7876122857015,1.35,1.0512507812735299
0.01,2971.925,37.80204003449062,5000.501677091948,182.1421915161893,1.15,0.4266746794119403
0.015,2960.525,111.78137717013189,4951.871074800756,358.7429059827024,1.425,2.217500325210277
0.02,2977.975,9.222290443574257,5025.675316564515,28.69190294255414,1.1,0.37893237337253666
0.025,2979.0,7.092791573681854,5027.877746361038,39.22692964502852,1.15,0.48304589153964833
0.03,2977.35,11.02572748922567,5023.159917619067,39.09684483259554,1.1,0.3038218101251001
0.035,2978.325,10.783148058488393,5012.570613119805,43.88501786297845,1.175,0.3848076442547925
0.04,2977.175,10.076343201166393,5024.701984470454,23.369587270042352,1.075,0.26674678283691866
0.045,2969.8,53.64039809408864,4986.1840092822695,227.26562443459832,1.2,0.5638694156883468
0.05,2975.425,9.464881106436273,5022.932205260795,31.492666813860332,1.075,0.26674678283691866
0.055,2963.0,93.82252750095078,4985.8338455627745,316.43579939109725,1.325,1.59144346669692
0.06,2971.075,26.453042576204005,4986.526247197471,180.52983276894867,1.05,0.22072142786315235
0.065,2974.725,10.09947320281404,5024.183904226594,25.813596829289807,1.025,0.15811388300841897
0.07,2973.5,9.938271015082591,5022.883159126993,24.995788449592283,1.1,0.30382181012510023
0.075,2974.825,11.204137285292978,5023.721016301573,22.79278373320009,1.075,0.2667467828369186
0.08,2973.7,13.730370603995981,5034.601229276015,22.846467188119057,1.075,0.26674678283691855
0.085,2974.575,12.844009877899877,5034.321615662908,25.918811483552826,1.125,0.3349320635285418
0.09,2927.525,226.5491385538404,4886.723580886508,583.6743730249738,3.25,12.658735708734492
0.095,2974.775,13.168508472283992,5031.800824946465,26.187525414915946,1.0,0.0
0.1,2975.125,13.726611810453146,5025.074599587674,53.816575562206005,1.025,0.15811388300841894
