,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,4974.0,0.0,4908.942060723117,9.210810886394635e-13,1.0,0.0
0.005,4974.0,0.0,4908.8840185843455,0.30632719267768044,1.0,0.0
0.01,4974.0,0.0,4908.905924260468,0.784063435007672,1.0,0.0
0.015,4974.0,0.0,4908.9914114563635,1.1091366292314124,1.0,0.0
0.02,4974.0,0.0,4908.88915193458,1.5044600894238174,1.0,0.0
0.025,4974.0,0.0,4908.923002013105,1.7370692594102304,1.0,0.0
0.03,4974.0,0.0,4908.691189228912,2.5980473511536535,1.0,0.0
0.035,4974.0,0.0,4908.654626881471,2.4548145356829507,1.0,0.0
0.04,4974.0,0.0,4909.19264861737,2.227914376803797,1.0,0.0
0.045,4974.0,0.0,4909.127040940061,2.5317229470409934,1.0,0.0
0.05,4974.0,0.0,4908.381135051082,3.564851703109082,1.0,0.0
0.055,4974.0,0.0,4908.670810756152,3.85504298683061,1.0,0.0
0.06,4974.0,0.0,4909.100961215967,4.50856524615413,1.0,0.0
0.065,4974.0,0.0,4909.90769936524,4.606930923704209,1.0,0.0
0.07,4974.0,0.0,4909.845918472407,4.931903712565248,1.0,0.0
0.075,4974.0,0.0,4909.810610223522,4.310123052083817,1.0,0.0
0.08,4974.0,0.0,4909.428576981687,5.7261344302062955,1.0,0.0
0.085,4974.0,0.0,4909.751339961878,5.177514543903259,1.0,0.0
0.09,4974.0,0.0,4910.559267846378,6.252993245082905,1.0,0.0
0.095,4974.0,0.0,4911.703682323083,7.0662660273324756,1.0,0.0
0.1,4974.0,0.0,4909.829815112507,6.545398340226424,1.0,0.0
