,count,count,size,size,components,components
,mean,std,mean,std,mean,std
0.0,2984.0,0.0,2524.703607474171,14.077184381038842,5.16875,0.8270032012464008
0.005,2984.0,0.0,2526.159007620772,14.99316498673177,5.16875,0.8593145375000788
0.01,2984.0,0.0,2525.385585585502,15.492799418534522,5.15,1.0573309405993556
0.015,2984.0,0.0,2528.7803970146842,14.407992963689095,5.1625,1.1087501626051395
0.02,2984.0,0.0,2522.550062537298,14.14777756538113,5.19375,1.0369573032280301
0.025,2984.0,0.0,2523.858564255952,13.833977160866207,5.2625,0.8950540737138707
0.03,2984.0,0.0,2526.882457326711,15.156069695708064,5.5,0.9854713827168429
0.035,2984.0,0.0,2526.235873530966,13.524061698896729,5.2875,1.1259611278984998
0.04,2984.0,0.0,2524.03492961127,13.71575318126072,5.26875,0.9614150561835456
0.045,2984.0,0.0,2523.8685759720274,12.59956021572338,5.4625,0.9650129532809392
0.05,2984.0,0.0,2517.9277134507456,13.72820362541459,5.3125,0.9018321806474207
0.055,2984.0,0.0,2518.889789273891,16.586252115488218,5.5125,1.0666115771030504
0.06,2984.0,0.0,2525.113134515328,13.664083796722876,5.40625,1.0601879066636712
0.065,2984.0,0.0,2518.876379486282,14.205603373711655,5.36875,0.8861243401204179
0.07,2984.0,0.0,2520.52303898251,11.095456136610803,5.21875,1.0744520070178172
0.075,2984.0,0.0,2521.2150865613203,14.820807001160622,5.425,1.000320461472735
0.08,2984.0,0.0,2518.378049183405,13.547296247295126,5.4125,1.044751841470696
0.085,2984.0,0.0,2516.8102739767114,12.769180150773757,5.44375,1.1014086260505052
0.09,2984.0,0.0,2519.528258794599,14.152502977663882,5.1875,0.9850647512232706
0.095,2984.0,0.0,2514.0216009026444,14.247015480812562,5.34375,0.8909939350566267
0.1,2984.0,0.0,2521.6905432267276,11.199130329314263,5.3125,1.015504800579495
