,lap,lap,nlap,nlap,netlsd,netlsd,portrait,portrait
,mean,std,mean,std,mean,std,mean,std
0.0,4.631252652023778,0.6972960946524827,0.31781115830031254,0.03509733757553385,0.026909529644716303,0.008541030429151735,0.05339905440500657,0.006557585497969073
0.005,4.774700279856975,0.7383412116306581,0.29392742589496496,0.020731602217472184,0.0215053030057619,0.004434057800140008,0.058265134860073474,0.009112800903176333
0.01,4.604364304936929,0.5921054299729486,0.2998265942025218,0.036184640080528636,0.026070806162462917,0.0063289999082131515,0.04897767016979936,0.004954452327986568
0.015,4.712099141503655,0.4967580204252805,0.30239009562416996,0.039492619445777026,0.029104311832630625,0.009655701849002735,0.052467185643104264,0.00841425603980293
0.02,4.488249218884122,0.3661169277235696,0.2949126360205242,0.03606264527340233,0.022081447170045808,0.005549855965318686,0.05168185403524141,0.003994884613804301
0.025,4.139099354597329,0.3998534783422674,0.29824916280964137,0.035653302063301806,0.02522092074436213,0.005930657704836153,0.052964102631256296,0.0064078222602020635
0.03,4.911595606966033,0.9496142234410384,0.2924509802923885,0.026128654769155883,0.025847436575499094,0.013286907927360229,0.05463220137618137,0.008937142283422548
0.035,4.731616400081782,0.7236943296121047,0.32021596271963737,0.037274196924791454,0.026825587551185102,0.00879884804361778,0.05387376069489065,0.005613139269432794
0.04,4.589846988660286,0.5317187772261044,0.2940320729615296,0.021038616156526482,0.02089379714137512,0.005858703553688011,0.058429680021019725,0.015998395529527497
0.045,4.879688427753565,0.543390215266121,0.30864216777600817,0.04100103177268818,0.027662856922703278,0.012785710126017364,0.05065435856250269,0.005178098714247928
0.05,4.682709952495733,0.6014639887579406,0.292012815927286,0.029952276662810935,0.023460734364985913,0.009971207622765111,0.05846439821796323,0.007423265298679287
0.055,4.703807686041744,0.658044512138138,0.29609356901770956,0.032386241070350534,0.02337694345070456,0.005099976150765462,0.05430371375111335,0.00847055071018721
0.06,4.341090303106809,0.5830955177881824,0.30176973659437734,0.025693716606802385,0.026066524239500344,0.009045615635431912,0.046855801395134934,0.0047330706044786085
0.065,4.848578739168112,0.82913693012918,0.30404494142656413,0.022284210905692773,0.019893161201889477,0.005512471336326341,0.05069049478426352,0.005082343610541638
0.07,4.610694238524935,0.6042399382103534,0.3054521685521034,0.029526612541002743,0.02377882743030098,0.006885266383001913,0.05067018151124221,0.005746132231836457
0.075,4.733544294661138,0.43314455549444125,0.29360547489576977,0.024975036948713666,0.02958978614516583,0.007833192738884448,0.05521566047610581,0.004488892308384409
0.08,4.37404490271347,0.4222512571522811,0.292460743755962,0.02947627682456697,0.02358430790037442,0.006866092255201783,0.05156297308657833,0.005878119511453069
0.085,4.819467196668899,0.7101070625814504,0.303602717919277,0.022394426417739092,0.024468284373591352,0.006560050118345197,0.0541193326456571,0.008712802753768926
0.09,4.798587177843766,0.40882112575442936,0.3125573373309643,0.02298083901883205,0.024076279160053626,0.005042461579219606,0.054083553520594706,0.0077419145524157355
0.095,4.606447373618846,0.563362726224147,0.3134982566352657,0.022024957993121458,0.02314354561531744,0.008930947855192755,0.05140667338656609,0.004740936474623788
0.1,4.797254572401423,0.6516222908743612,0.3092202220279824,0.03004717280907458,0.025690726757268724,0.008245415818683535,0.05383299261911643,0.008709804624728056
