,count,count,size,size
,mean,std,mean,std
0.0,4977.0,0.0,4953.811410071237,2.7632432659183902e-12
0.005,4977.0,0.0,4953.889733404339,0.35238729656874623
0.01,4977.0,0.0,4954.064805500659,0.6238782086949177
0.015,4977.0,0.0,4954.351536907001,0.8865701196208544
0.02,4977.0,0.0,4954.592914115325,1.5966795182898776
0.025,4977.0,0.0,4955.12284059153,2.0758826954997094
0.03,4977.0,0.0,4956.335073938605,2.385810530119504
0.035,4977.0,0.0,4956.715160363886,2.7805194307365855
0.04,4977.0,0.0,4957.901229540456,2.6514278066193304
0.045,4977.0,0.0,4958.545766097774,4.101357688316703
0.05,4977.0,0.0,4959.584746030675,4.582874480990762
0.055,4977.0,0.0,4961.104957170114,4.352414011326889
0.06,4977.0,0.0,4961.868125746619,4.087511040477092
0.065,4977.0,0.0,4964.845747063421,4.435591222379499
0.07,4977.0,0.0,4964.607662431832,4.401269912603486
0.075,4977.0,0.0,4968.1654530508,4.625734486639427
0.08,4977.0,0.0,4968.271977389524,3.958369376425933
0.085,4977.0,0.0,4970.0493606166565,5.495603427348425
0.09,4977.0,0.0,4972.1097610381385,6.085140564194244
0.095,4977.0,0.0,4973.73147409933,4.974069753954703
0.1,4977.0,0.0,4975.835834736302,7.081787518485685
