count,count,size,size,components,components
mean,std,mean,std,mean,std
2985.55,7.917169882437059,5054.5137040692,17.81269985492104,1.2,0.6155870112510925
2985.2,6.6932802122726045,5051.366414112052,21.74185513700289,1.1,0.3077935056255462
2986.95,8.049027401199675,5059.293662897434,26.008555898485046,1.1,0.3077935056255462
2989.7,9.581231653602789,5063.39597447503,27.930657985294374,1.1,0.30779350562554625
2992.7,10.188228501560024,5067.4860648554695,29.213015407689653,1.4,0.5026246899500347
2995.1,11.313243287590456,5068.500310608671,19.71959865546182,1.1,0.44721359549995815
2991.5,9.854200279976794,5075.7051306892035,27.195788690255494,1.15,0.4893604849295929
2998.85,6.587667904581457,5081.492263900866,24.329644589574286,1.3,0.47016234598162715
3000.05,11.81201440104635,5090.114480300685,27.617874828766098,1.2,0.5231483637805969
3004.25,9.585487934756813,5109.168055710203,22.03058290739341,1.15,0.36634754853252327
3011.0,9.684496563281465,5097.396948265034,24.10571883516822,1.35,0.5871429486123999
3012.1,9.307043173402548,5099.492047853668,26.477459446452613,1.2,0.4103913408340617
3009.55,11.301956048680946,5106.134153439066,28.611045147702384,1.35,0.48936048492959283
3017.55,9.703363497153694,5112.65361496921,27.833216371217514,1.25,0.5501196042201808
3023.9,12.413490115278025,5115.142306196871,27.411550968355648,1.05,0.22360679774997902
3021.7,14.981040649680128,5128.707207631035,22.76976850575786,1.25,0.5501196042201808
3028.85,8.886861976506312,5127.090856145236,15.86512175209894,1.2,0.41039134083406165
3029.1,14.141763457370178,5139.122623659091,24.905964676021004,1.25,0.5501196042201808
3034.75,10.779488319073991,5134.2507996551785,32.129476384245585,1.05,0.22360679774997905
3036.7,12.371869620018508,5142.142347848904,21.66556192071206,1.05,0.22360679774997902
3043.1,6.719179147861191,5153.461964806174,30.686084695069507,1.2,0.41039134083406165
3044.1,12.034599243322079,5141.409818354476,24.349989991659108,1.15,0.36634754853252327
3050.45,4.6845209832068475,5151.710738064707,19.847689166429056,1.25,0.4442616583193193
3054.45,4.310025033508933,5150.997072999613,19.130361675430784,1.25,0.4442616583193193
3054.85,9.438303817284567,5165.031259606256,23.28086881338256,1.05,0.223606797749979
3063.3,6.0879518637007015,5166.469147207595,19.136167969264786,1.1,0.3077935056255462
3063.35,5.788145780726966,5170.8563466342175,26.57347596414811,1.2,0.4103913408340617
3061.85,7.379024325749307,5183.457908891167,25.193428621053243,1.2,0.523148363780597
3068.9,4.854731820876575,5187.9003574200115,22.43016983517503,1.1,0.3077935056255462
3073.4,6.769902432632868,5189.65820630831,24.224867076650153,1.1,0.3077935056255462
3074.25,5.561853155767041,5196.786478807185,24.08371970383771,1.2,0.523148363780597
3078.25,5.339771333562594,5211.495523165317,21.697393489928064,1.05,0.22360679774997905
3082.7,5.262578915522812,5205.110520220909,25.73144152313752,1.05,0.22360679774997902
3083.35,5.7790456323732755,5210.864022991059,19.433815036110264,1.05,0.22360679774997896
3085.1,8.077910099706939,5221.5460480276215,23.604311690683033,1.2,0.4103913408340617
3088.95,6.565259444907519,5231.463251016964,22.325832351416594,1.1,0.3077935056255462
3091.2,7.0082657964495185,5224.0511860633,22.691331351575535,1.1,0.3077935056255462
3094.95,11.62789296204786,5238.934114568257,24.493996350935994,1.1,0.30779350562554625
3095.5,7.423291935381145,5242.455732020873,32.01234138316265,1.1,0.3077935056255462
3094.9,10.05197021798005,5240.1098072710865,21.69537968439782,1.15,0.36634754853252327
3100.75,8.058176625410725,5255.091478080545,17.39089143805614,1.25,0.4442616583193193
3098.65,11.150997123221998,5254.654204134729,23.153017967537313,1.1,0.30779350562554625
3105.6,8.598653505361359,5260.599841363706,31.50170627563334,1.0,0.0
3108.55,9.86474317429181,5261.879056274475,25.279742526597712,1.05,0.22360679774997907
3111.05,10.927873583302087,5272.793046520963,25.04174110122958,1.05,0.22360679774997907
3113.65,13.172039765311498,5274.207475246421,30.509411084239275,1.1,0.3077935056255462
3117.4,13.816085209867364,5282.928184621017,23.101720431474547,1.3,0.5712405705774793
3117.6,11.45425685062108,5290.8488943479515,27.326755247818213,1.05,0.22360679774997905
3116.65,9.631499855873136,5295.451904481789,23.716159998994847,1.0,0.0
3122.2,13.71744950975332,5292.789360714354,24.151938173016035,1.0,0.0
3131.4,12.717166185494062,5296.072205765001,26.021248076371702,1.15,0.36634754853252327
